common name,code,scientific name/ example,,,,,,
"sand, silt",SS_SU,,,,,,,
shell debris,shell_SU,,,,,,,
pebble 0.5-5cm,peb_SU,,,,,,,
cobble/rock  5-25cm,cob_SU,,,,,,,
boulder 25-100cm,bould_SU,,,,,,,
reef >1m,reef_SU,,,,,,,
concrete,concr_SU,,,,,,,
glass,glass_SU,,,,,,,
metal,metal_SU,"cans, chains… ",,,,,,
polymer,poly_SU,"tires, safety cones, chip bags…",,,,,,
anthropogenic wood,AW_SU,2x4 lumber,,,,,,
natural wood,NW_SU,drift wood… ,,,,,,
anthropogenic other,anth_SU,clothes… ,,,,,,
eelgrass,eel_SG,Zostera spp.,,,,,,
surfgrasses,surf_SG,Phyllospadix spp. ,,,,,,
sea lettuce,ulva_GR,Ulva spp. ,,,,,,
sea colander kelp,coland_KE, Agarum clathratum/ Neoagarum fimbriatum,,,,,,
ribbon kelp ,ribbn_KE,Alaria marginata,,,,,,
five-ribbed kelp,5rib_KE,Costaria costata,,,,,,
three-ribbed kelp,3rib_KE,Cymathere triplicata,,,,,,
net-of-cords kelp,cord_KE,Dictyoneurum californicum,,,,,,
,DiRet_KE,Dictyoneurum reticulatum,,,,,,
feather boa kelp ,feath_KE,Egregia menziesii,,,,,,
dragon kelp,drag_KE,Eualaria fistulosa,,,,,,
sea cabbage ,cabb_KE,Hedophyllum sessile,,,,,,
,LaEph_KE,Laminaria ephemera,,,,,,
,LaLoSi_KE,Laminaria longipes/ sinclairii,,,,,,
split kelp,split_KE,Laminaria setchellii,,,,,,
strap kelp,strap_KE,Lessoniopsis littoralis,,,,,,
giant kelp,giant_KE,Macrocystis pyrifera,,,,,,
bull kelp,bull_KE,Nereocystis luetkeana,,,,,,
broad-rib kelp,broad_KE,Pleurophycus gardneri,,,,,,
stalked kelp,stalk_KE,Pterygophora californica,,,,,,
sea palm ,palm_KE,Postelsia palmaeformis,,,,,,
sugar kelp,sugar_KE,Saccharina latissima/ Saccharina complanata/ Hedophyllum nigripes,,,,,,
rockweed,fucus_BR,Fucus spp.,,,,,,
flat acid weed,FlatAci_BR,Desmarestia ligulata,,,,,,
stringy acid weed,StriAci_BR,Desmarestia viridis,,,,,,
filamentous brown,filam_BR,"Diatoms, Ectocarpus, Hincksia, Pilayella and others",,,,,,
invasive sargassum,sargass_BR,Sargassum muticum,,,,,,
invasive undaria,undaria_BR,Undaria pinnatifida,,,,,,
holdfast,holdfas_BR,can't determine species,,,,,,
unknown brown seaweed,unk_BR,"brown seaweed, but can't identify species",,,,,,
bushy cylindrical red algae,bushy_RE,,,,,,,
flat branching red algae,branch_RE,,,,,,,
flat leaf red algae,leaf_RE,,,,,,,
lacy red algae,lacy_RE,,,,,,,
turf red algae <2cm,turf_RE,,,,,,,
encrusting coralline,crust_CA,,,,,,,
articulated coralline algae,art_CA,,,,,,,
anemone,anem_SI,,,,,,,
bryozoan/hydriod,BryHyd_SI,,,,,,,
kelp encrusting bryozoan,KelpBry_SI,Membranipora serrilamella,,,,,,
cup coral,cup_SI,,,,,,,
embedded cucumber,CucEmb_SI,,,,,,,
mussel,mussel_SI,,,,,,,
scallop,scallop_SI,,,,,,,
solitary sponge,SpongSol_SI,,,,,,,
solitary tunicate,TunSol_SI,,,,,,,
encrusting sessile invert,encrust_SI,,,,,,,
California sea cucumber,CaCuc_MS,Apostichopus californicus,,,,,,
crab,crab_MS,"dungeness, kelp crab, red rock crab",,,,,,
gastropod,gastro_MS,"snails, albalone, nudibranchs",,,,,,
fish,fish_MS,,,,,,,
sea star,SStar_MS,,,,,,,
sea urchin,urchin_MS,,,,,,,
unidentifiable ,UNIdent,"too blurry, dark",,,,,,
